Sentiment Info,"Product Name:  || Date Scraped: [datetime.datetime(2018, 12, 18, 12, 0, 25, 591612)]",,Product URL: https://www.amazon.ca/Comfort-Zone-CZST161BTE-Pedestal-Fan/dp/B004IPA774/ref=cm_cr_arp_d_product_top?ie=UTF8
Rating,Average Rating,Author,Review Text,Review Date,Verified Purchase,# HQ Words,Word Count,# LQ Words,Sentiment Score
2,4.1,Allrounder,"I got what I paid for. The plastic is so flimsy, it is a dollar store quality. Bought two of these and the motor on one of them doesn't run smoothly - it still sends breeze but it does faster and slower motion constantly regardless of the speed choice. Stand is somewhat wobbly. I won't buy a Dyson for a fan but I wouldn't buy this again either.",2018-08-27,Yes,6,67,0,-0.07169220000000001
5,4.1,Jay,as advertised,2018-09-29,Yes,0,2,0,0.0
5,4.1,melissa m,Works perfect,2018-10-27,Yes,0,2,0,0.0
5,4.1,Rizzle Dizzle,Good product. The base is wider than you may expect. Fans work well,2018-09-06,Yes,0,13,0,0.263252
1,4.1,Jacklyn Myers,I had this fan for less then three months and it had stopped working!!,2018-12-04,Yes,0,14,0,-0.463046
4,4.1,Jessica McBride,"Great for a cheap fan for my home gym. A little flimsy looking looking, I wouldn’t have it around small children",2018-11-28,Yes,2,21,0,-0.040791999999999995
5,4.1,Amazon Customer,Great fan.,2018-09-05,Yes,0,2,0,0.969602
4,4.1,Amazon Customer,It’s easy to assemble and good for the price. Works very well. It was delivered quickly and happy with it.,2018-09-14,Yes,1,20,0,0.9626250000000001
5,4.1,Matthew Wickware,Nothing fancy butworks like a charm.,2018-10-02,Yes,1,6,0,0.522418
4,4.1,Amazon Customer,Easy enough to put together. Cage blade etc all made of plastic. Works great,2018-10-09,Yes,2,14,0,0.630386
5,4.1,Christian,"- Very easy to assemble
- Not to noisy
- Good quality for the price",2018-08-17,Yes,3,12,0,0.855677
5,4.1,Amazon Customer,"Exactly what I was looking for. Not too loud. Wish the lowest setting was a little bit lighter but that’s ok. I’m one of those freaks that needs a fan blowing in the bedroom all year round, summer or winter.",2018-12-10,Yes,1,40,0,-0.30340933333333336
3,4.1,scott morrell,The legs fold up when you left the base to move it and when you go to set it back down if you’re not careful it’ll fall over,2018-10-29,Yes,3,28,0,-0.60512
1,4.1,Joshua Kennedy,Not even 24 hrs of use and already stopped working. Smells like burnt motor and won't turn on anymore.,2018-12-16,Yes,1,19,0,-0.933202
5,4.1,Kindle Customer,"Easy to assemble, works well, quiet.",2018-10-05,Yes,1,6,0,0.916166
4,4.1,M Jean Sommerdyk,Decent quality considering the price,2018-11-25,Yes,2,5,0,0.813103
5,4.1,Louis-Étienne Gagnon,Good product for good price,2018-09-15,Yes,1,5,0,0.892446
4,4.1,SIBY PAUL,So far looks good,2018-08-11,Yes,0,4,0,0.949024
5,4.1,Amazon Customer,Perfect,2018-09-11,Yes,0,1,0,0.0
5,4.1,Mike Philpott,Great product. Came disassembled but very easy to put together.,2018-10-03,Yes,0,10,0,0.939616
5,4.1,Jennifer,was looking for an economy priced fan that works and it does the only complaint is the lowest setting could be a little lower,2018-11-02,Yes,0,24,0,-0.651174
1,4.1,Ron Seigel,I doubt anyone could make a crappier fan if they tried. Luckily for us it's really just meant for white noise in our bedroom. The last one we bought (cheap junk from Canadian Tire) lasted 10 years and it was literally only shut off to clean it. No way this one lasts a year. The medium setting didn't work right out of the package but it would have been more hassle to return it than it was worth.,2018-11-25,Yes,5,78,0,-0.28788179999999997
5,4.1,Dave,"Fan works great, as it should operate!",2018-09-12,Yes,0,7,0,0.970633
4,4.1,Christopher Darling,"Went together easy enough. Not too sturdy for a pedestal fan. Does the trick buy feels especially cheap.

I worked in the department that sold fans at Sears for 4 years. This one is maybe slightly below in terms of quality of materials our cheapest fan. It's a cheap fan that works fine. I don't expect it to have a long life though.",2018-10-20,Yes,4,63,0,0.214647
5,4.1,neighbour2thenorth,Quiet and extremely lightweight,2018-08-20,Yes,0,4,0,0.94625
5,4.1,Amazon Customer,"Good fan, pretty loud on the top speed though. Still..for the price it's worth it.",2018-11-21,Yes,4,15,0,0.841548
5,4.1,Amazon Customer,Best fan for this price that I've found. Bottom stays together much better than previous cheaper fans that I have had. Plus it fans out and folds in for easy transport.,2018-12-02,Yes,1,31,0,0.8790429999999999
