KEYWORDS,Sentiment Score
BLOW,-0.872375;
BREEZE,0.935948;
CLICK,-0.554665;
CONTROL,0.967574;-0.647724;
COST,-0.851756;
DESIGN,0.927942;
DURABLE,0.967574;
EFFICIENT,0.99219;
FEET,-0.872375;
FUNCTIONAL,0.927942;
HEIGHT,-0.647724;
HIGH,0.999636;
LAST,-0.515755;
LOOK,0.967574;
LOUD,-0.554665;0.607143;
LOW,0.607143;-0.872375;-0.647724;
NOISE,-0.647783;-0.851756;
PLASTIC,-0.515755;
QUIET,0.999636;
RETURNED,0.0;
ROUGH,0.0;
SOUND,-0.554665;
SPEED,0.607143;
STRONG,0.935948;
UP,0.927942;-0.949277;
