author_id,product_id,author_url,author,rank,num_of_reviews,date_scraped
216739803619311,2514398647175,https://www.amazon.ca/gp/profile/amzn1.account.AHCQF7J54STONKAUVB32EXFMJ6EA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Liki,1559532,1,2019-03-01 22:55:54.461766
53991536480959,2514398647175,https://www.amazon.ca/gp/profile/amzn1.account.AE6BF43KYZPM3FD273KUODKVN6YA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Francois Aitsalem,1257640,5,2019-03-01 22:56:00.288571
34225731574716,2514398647175,https://www.amazon.ca/gp/profile/amzn1.account.AESH42OWVQ2O3XZCMOO2QY4BMSUA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Dan B,34769,96,2019-03-01 22:56:12.314403
96923641011173,2514398647175,https://www.amazon.ca/gp/profile/amzn1.account.AHY73LLUXJO3RYAJKM52ORK4T4RQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,THC-ThatHighCandian,690,217,2019-03-01 22:56:39.490537
90043637701065,2514398647175,https://www.amazon.ca/gp/profile/amzn1.account.AHMU4TBGUKX3SITXIPK4PM22FJ2Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Pierre Arsenault,486620,4,2019-03-01 22:57:40.897070
author_id,product_id,author_url,author,rank,num_of_reviews,date_scraped
236782876284612,159961458384801,https://www.amazon.ca/gp/profile/amzn1.account.AHQ26VFXYUT5OUMW3NCZOIZNPUFA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Shvey Lien.,9071,23,2019-03-01 23:06:12.351455
208635403063336,159961458384801,https://www.amazon.ca/gp/profile/amzn1.account.AFKXZRECERUYYGIDE6LQKFKIOUMQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Paul,2249,260,2019-03-01 23:06:25.130064
117900525493939,159961458384801,https://www.amazon.ca/gp/profile/amzn1.account.AEU4IRSUPYCGWXPQGPEDOJAEMV4Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,J,211658,4,2019-03-01 23:07:55.882225
15458915423702,159961458384801,https://www.amazon.ca/gp/profile/amzn1.account.AHS44N5E5NDU5KDL5UVJKQBCXOKQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Amazon Customer,326701,7,2019-03-01 23:08:03.747999
9566242001505,159961458384801,https://www.amazon.ca/gp/profile/amzn1.account.AHUGLNQ37CMYZRURPGYNZTSGJBZQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Curtis,30801,29,2019-03-01 23:08:11.177085
158273269411884,159961458384801,https://www.amazon.ca/gp/profile/amzn1.account.AEW425H5HWEMX4NYWKXDLCQMHWVA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Dr. Green Thumb,88332,28,2019-03-01 23:08:27.883624
72847426843303,159961458384801,https://www.amazon.ca/gp/profile/amzn1.account.AEORFNI67XHYNHS566AE4LZGSK4Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Amazon Customer,26663,76,2019-03-01 23:08:40.191069
130874252056619,159961458384801,https://www.amazon.ca/gp/profile/amzn1.account.AFLQZ74PHECVO3AKK4MJIUDWWZKA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,FunkySpice,4908,116,2019-03-01 23:09:04.322077
194669046170855,206510457161996,https://www.amazon.ca/gp/profile/amzn1.account.AH7ZWAHLR4Y54SHHOPXOYVV4XM2Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Vern Newman,80916,49,2019-03-01 23:09:56.828893
77358168746431,206510457161996,https://www.amazon.ca/gp/profile/amzn1.account.AFP6DDUPBDAYARABKAVAKNJIER5Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Bryan Keller,125921,32,2019-03-01 23:10:14.613344
184743010108892,206510457161996,https://www.amazon.ca/gp/profile/amzn1.account.AHIAWZ7GCT6PDERHQXK4ETWNQNVA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Eric,69676,73,2019-03-01 23:10:27.700472
272498488439690,206510457161996,https://www.amazon.ca/gp/profile/amzn1.account.AEWVTHYCIKOPN72QIBHILBSM4Z4A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Amazon Customer,685164,8,2019-03-01 23:10:52.035084
78219155245876,206510457161996,https://www.amazon.ca/gp/profile/amzn1.account.AH3QAR2FYTWQ3JXP65XDEIH6JGXA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Sheila B.,14580,225,2019-03-01 23:11:03.665971
